Departure Time 1;From1;Day Of Week;To1;Departure Time 2;From2;To2;Type
26.12.2015 23:20;Дубки;СБ;Одинцово;26.12.2015 23:40;Одинцово;Дубки;Bus
26.12.2015 23:45;Дубки;СБ;Одинцово;26.12.2015 0:07;Одинцово;Дубки;Bus
;;СБ;;26.12.2015 1:05;Одинцово;Дубки;Bus
26.12.2015 8:05;Дубки;ВС;Одинцово;26.12.2015 8:35;Одинцово;Дубки;Bus
26.12.2015 9:05;Дубки;ВС;Одинцово;26.12.2015 9:25;Одинцово;Дубки;Bus
26.12.2015 10:30;Дубки;ВС;Одинцово;26.12.2015 10:55;Одинцово;Дубки;Bus
26.12.2015 11:45;Дубки;ВС;Одинцово;26.12.2015 12:10;Одинцово;Дубки;Bus
26.12.2010 12:25;Дубки;ВС;Одинцово;26.12.2015 12:50;Одинцово;Дубки;Bus
26.12.2015 13:10;Дубки;ВС;Одинцово;26.12.2015 13:35;Одинцово;Дубки;Bus
26.12.2015 14:20;Дубки;ВС;Одинцово;26.12.2015 14:45;Одинцово;Дубки;Bus
26.12.2015 15:50;Дубки;ВС;Одинцово;26.12.2015 16:12;Одинцово;Дубки;Bus
26.12.2015 17:00;Дубки;ВС;Одинцово;26.12.2015 17:20;Одинцово;Дубки;Bus
26.12.2015 18:20;Дубки;ВС;Одинцово;26.12.2015 18:40;Одинцово;Дубки;Bus
26.12.2015 18:50;Дубки;ВС;Одинцово;26.12.2015 19:20;Одинцово;Дубки;Bus
26.12.2015 19:15;Дубки;ВС;Одинцово;26.12.2015 19:35;Одинцово;Дубки;Bus
26.12.2015 20:10;Дубки;ВС;Одинцово;26.12.2015 20:32;Одинцово;Дубки;Bus
26.12.2015 20:30;Дубки;ВС;Одинцово;26.12.2015 20:49;Одинцово;Дубки;Bus
26.12.2015 20:50;Дубки;ВС;Одинцово;26.12.2015 21:09;Одинцово;Дубки;Bus
26.12.2015 21:15;Дубки;ВС;Одинцово;26.12.2015 21:36;Одинцово;Дубки;Bus
26.12.2015 22:00;Дубки;ВС;Одинцово;26.12.2015 22:20;Одинцово;Дубки;Bus
26.12.2015 22:35;Дубки;ВС;Одинцово;26.12.2015 23:02;Одинцово;Дубки;Bus
26.12.2015 23:20;Дубки;ВС;Одинцово;26.12.2015 23:40;Одинцово;Дубки;Bus
;;ВС;;26.12.2015 0:07;Одинцово;Дубки;Bus
;;ВС;;26.12.2015 1:05;Одинцово;Дубки;Bus
